
[2025-07-10 15:18:43.2681 Send: 5A E0 00 00 39 61
[2025-07-10 15:18:43.2711 MCU not connected
[2025-07-10 15:18:43.2882 recv packet: 5A E0 00 00 39 61
[2025-07-10 15:18:43.2882 MCU connected
[2025-07-10 15:18:44.1960 recv packet: 5A 60 00 F6 20 00 00 00 00 00 20 04 00 00 00 00 20 08 00 00 00 00 20 0C 00 00 00 00 20 10 00 00 00 00 20 14 00 00 00 00 20 18 00 00 00 00 20 1C 00 00 00 00 20 20 00 00 00 00 20 24 00 00 00 00 20 28 00 00 00 00 20 2C 00 00 00 00 20 30 00 00 00 00 20 34 00 00 00 00 20 38 00 00 00 00 20 3C 00 00 00 00 20 40 00 00 00 00 20 44 00 00 00 00 20 48 00 00 00 00 20 4C 00 00 00 00 20 50 00 00 00 00 20 54 00 00 00 00 20 58 00 00 00 00 20 5C 00 00 00 00 20 60 00 00 00 00 20 64 00 00 00 00 20 68 00 00 00 00 20 6C 00 00 00 00 20 70 00 00 00 00 20 74 00 00 00 00 20 78 00 00 00 00 20 7C 00 00 00 00 20 80 00 00 00 00 20 84 00 00 00 00 22 00 00 00 00 00 22 04 00 00 00 00 22 08 00 00 00 00 22 0C 00 00 00 00 22 10 00 00 00 00 22 14 00 00 00 00 22 18 00 00 00 00 26 58
[2025-07-10 15:18:44.1980 MCU report: addr=0x2000, value=0, status=OK
[2025-07-10 15:18:44.2274 MCU report: addr=0x2004, value=0, status=OK
[2025-07-10 15:18:44.2891 MCU report: addr=0x2008, value=0, status=OK
[2025-07-10 15:18:44.2985 MCU report: addr=0x200C, value=0, status=OK
[2025-07-10 15:18:44.3421 MCU report: addr=0x2010, value=0, status=OK
[2025-07-10 15:18:44.3493 MCU report: addr=0x2014, value=0, status=OK
[2025-07-10 15:18:44.3513 MCU report: addr=0x2018, value=0, status=OK
[2025-07-10 15:18:44.3540 MCU report: addr=0x201C, value=0, status=OK
[2025-07-10 15:18:44.3550 MCU report: addr=0x2020, value=0, status=OK
[2025-07-10 15:18:44.3560 MCU report: addr=0x2024, value=0, status=OK
[2025-07-10 15:18:44.3580 MCU report: addr=0x2028, value=0, status=OK
[2025-07-10 15:18:44.3599 MCU report: addr=0x202C, value=0, status=OK
[2025-07-10 15:18:44.3619 MCU report: addr=0x2030, value=0, status=OK
[2025-07-10 15:18:44.3639 MCU report: addr=0x2034, value=0, status=OK
[2025-07-10 15:18:44.3649 MCU report: addr=0x2038, value=0, status=OK
[2025-07-10 15:18:44.3659 MCU report: addr=0x203C, value=0, status=OK
[2025-07-10 15:18:44.3679 MCU report: addr=0x2040, value=0, status=OK
[2025-07-10 15:18:44.3709 MCU report: addr=0x2044, value=0, status=OK
[2025-07-10 15:18:44.3719 MCU report: addr=0x2048, value=0, status=OK
[2025-07-10 15:18:44.3739 MCU report: addr=0x204C, value=0, status=OK
[2025-07-10 15:18:44.3763 MCU report: addr=0x2050, value=0, status=OK
[2025-07-10 15:18:44.3763 MCU report: addr=0x2054, value=0, status=OK
[2025-07-10 15:18:44.3773 MCU report: addr=0x2058, value=0, status=OK
[2025-07-10 15:18:44.3794 MCU report: addr=0x205C, value=0, status=OK
[2025-07-10 15:18:44.3804 MCU report: addr=0x2060, value=0, status=OK
[2025-07-10 15:18:44.3814 MCU report: addr=0x2064, value=0, status=OK
[2025-07-10 15:18:44.3834 MCU report: addr=0x2068, value=0, status=OK
[2025-07-10 15:18:44.3860 MCU report: addr=0x206C, value=0, status=OK
[2025-07-10 15:18:44.3870 MCU report: addr=0x2070, value=0, status=OK
[2025-07-10 15:18:44.3890 MCU report: addr=0x2074, value=0, status=OK
[2025-07-10 15:18:44.3902 MCU report: addr=0x2078, value=0, status=OK
[2025-07-10 15:18:44.3946 MCU report: addr=0x207C, value=0, status=OK
[2025-07-10 15:18:44.3956 MCU report: addr=0x2080, value=0, status=OK
[2025-07-10 15:18:44.3978 MCU report: addr=0x2084, value=0, status=OK
[2025-07-10 15:18:44.3988 MCU report: addr=0x2200, value=0, status=OK
[2025-07-10 15:18:44.4010 MCU report: addr=0x2204, value=0, status=OK
[2025-07-10 15:18:44.4021 MCU report: addr=0x2208, value=0, status=OK
[2025-07-10 15:18:44.4041 MCU report: addr=0x220C, value=0, status=OK
[2025-07-10 15:18:44.4051 MCU report: addr=0x2210, value=0, status=OK
[2025-07-10 15:18:44.4066 MCU report: addr=0x2214, value=0, status=OK
[2025-07-10 15:18:44.4096 MCU report: addr=0x2218, value=0, status=OK
[2025-07-10 15:18:44.4236 recv packet: 5A 60 00 96 22 1C 00 00 00 00 22 20 00 00 00 00 22 24 00 00 00 00 24 00 00 00 00 00 24 04 00 00 00 00 24 08 00 00 00 00 24 0C 00 00 00 00 24 10 00 00 00 00 24 14 00 00 00 00 24 18 00 00 00 00 24 1C 00 00 00 00 24 20 00 00 00 00 24 24 00 00 00 00 24 28 00 00 00 00 24 2C 00 00 00 00 24 30 00 00 00 00 24 34 00 00 00 00 24 38 00 00 00 00 24 3C 00 00 00 00 24 40 00 00 00 00 24 44 00 00 00 00 24 48 00 00 00 00 26 00 00 00 00 00 26 04 00 00 00 00 26 08 00 00 00 04 DB A4
[2025-07-10 15:18:44.4246 MCU report: addr=0x221C, value=0, status=OK
[2025-07-10 15:18:44.4548 MCU report: addr=0x2220, value=0, status=OK
[2025-07-10 15:18:44.4901 MCU report: addr=0x2224, value=0, status=OK
[2025-07-10 15:18:44.5033 MCU report: addr=0x2400, value=0, status=OK
[2025-07-10 15:18:44.5168 MCU report: addr=0x2404, value=0, status=OK
[2025-07-10 15:18:44.5210 MCU report: addr=0x2408, value=0, status=OK
[2025-07-10 15:18:44.5210 MCU report: addr=0x240C, value=0, status=OK
[2025-07-10 15:18:44.5231 MCU report: addr=0x2410, value=0, status=OK
[2025-07-10 15:18:44.5250 MCU report: addr=0x2414, value=0, status=OK
[2025-07-10 15:18:44.5260 MCU report: addr=0x2418, value=0, status=OK
[2025-07-10 15:18:44.5281 MCU report: addr=0x241C, value=0, status=OK
[2025-07-10 15:18:44.5311 MCU report: addr=0x2420, value=0, status=OK
[2025-07-10 15:18:44.5331 MCU report: addr=0x2424, value=0, status=OK
[2025-07-10 15:18:44.5341 MCU report: addr=0x2428, value=0, status=OK
[2025-07-10 15:18:44.5351 MCU report: addr=0x242C, value=0, status=OK
[2025-07-10 15:18:44.5381 MCU report: addr=0x2430, value=0, status=OK
[2025-07-10 15:18:44.5401 MCU report: addr=0x2434, value=0, status=OK
[2025-07-10 15:18:44.5411 MCU report: addr=0x2438, value=0, status=OK
[2025-07-10 15:18:44.5428 MCU report: addr=0x243C, value=0, status=OK
[2025-07-10 15:18:44.5454 MCU report: addr=0x2440, value=0, status=OK
[2025-07-10 15:18:44.5473 MCU report: addr=0x2444, value=0, status=OK
[2025-07-10 15:18:44.5483 MCU report: addr=0x2448, value=0, status=OK
[2025-07-10 15:18:44.5503 MCU report: addr=0x2600, value=0, status=OK
[2025-07-10 15:18:44.5513 MCU report: addr=0x2604, value=0, status=OK
[2025-07-10 15:18:44.5543 MCU report: addr=0x2608, value=4, status=OK
