[2025-07-10 14:56:02.4917 Send: 5A E0 00 00 39 61
[2025-07-10 14:56:02.4937 MCU not connected
[2025-07-10 14:56:02.5141 recv packet: 5A E0 00 00 39 61
[2025-07-10 14:56:02.5153 MCU connected
[2025-07-10 14:56:03.3245 recv packet: 5A 60 00 F6 20 00 00 00 00 00 20 04 00 00 00 00 20 08 00 00 00 00 20 0C 00 00 00 00 20 10 00 00 00 00 20 14 00 00 00 00 20 18 00 00 00 00 20 1C 00 00 00 00 20 20 00 00 00 00 20 24 00 00 00 00 20 28 00 00 00 00 20 2C 00 00 00 00 20 30 00 00 00 00 20 34 00 00 00 00 20 38 00 00 00 00 20 3C 00 00 00 00 20 40 00 00 00 00 20 44 00 00 00 00 20 48 00 00 00 00 20 4C 00 00 00 00 20 50 00 00 00 00 20 54 00 00 00 00 20 58 00 00 00 00 20 5C 00 00 00 00 20 60 00 00 00 00 20 64 00 00 00 00 20 68 00 00 00 00 20 6C 00 00 00 00 20 70 00 00 00 00 20 74 00 00 00 00 20 78 00 00 00 00 20 7C 00 00 00 00 20 80 00 00 00 00 20 84 00 00 00 00 22 00 00 00 00 00 22 04 00 00 00 00 22 08 00 00 00 00 22 0C 00 00 00 00 22 10 00 00 00 00 22 14 00 00 00 00 22 18 00 00 00 00 26 58
[2025-07-10 14:56:03.3272 MCU report: addr=0x2000, value=0, status=OK
[2025-07-10 14:56:03.4007 MCU report: addr=0x2004, value=0, status=OK
[2025-07-10 14:56:03.4348 MCU report: addr=0x2008, value=0, status=OK
[2025-07-10 14:56:03.4600 MCU report: addr=0x200C, value=0, status=OK
[2025-07-10 14:56:03.4600 MCU report: addr=0x2010, value=0, status=OK
[2025-07-10 14:56:03.4880 MCU report: addr=0x2014, value=0, status=OK
[2025-07-10 14:56:03.4890 MCU report: addr=0x2018, value=0, status=OK
[2025-07-10 14:56:03.4900 MCU report: addr=0x201C, value=0, status=OK
[2025-07-10 14:56:03.4910 MCU report: addr=0x2020, value=0, status=OK
[2025-07-10 14:56:03.4920 MCU report: addr=0x2024, value=0, status=OK
[2025-07-10 14:56:03.4920 MCU report: addr=0x2028, value=0, status=OK
[2025-07-10 14:56:03.4920 MCU report: addr=0x202C, value=0, status=OK
[2025-07-10 14:56:03.4931 MCU report: addr=0x2030, value=0, status=OK
[2025-07-10 14:56:03.4941 MCU report: addr=0x2034, value=0, status=OK
[2025-07-10 14:56:03.4951 MCU report: addr=0x2038, value=0, status=OK
[2025-07-10 14:56:03.4951 MCU report: addr=0x203C, value=0, status=OK
[2025-07-10 14:56:03.4951 MCU report: addr=0x2040, value=0, status=OK
[2025-07-10 14:56:03.4961 MCU report: addr=0x2044, value=0, status=OK
